Frame ID,QR id,QR 2D,QR 3D
436,5,"[[434.0, 164.0], [451.0, 165.0], [451.0, 182.0], [435.0, 182.0]]","[7.580429575714252, -178.21591758053108, -19.45830399215678, -2.192414082793321]"
437,5,"[[457.0, 177.0], [474.0, 176.0], [473.0, 193.0], [456.0, 193.0]]","[7.5363010717413506, 168.53306872838274, 13.22523968733614, 0.754885077440402]"
438,5,"[[462.0, 177.0], [478.0, 178.0], [478.0, 195.0], [461.0, 195.0]]","[7.633679820961319, -170.57773799914034, -16.051581132523307, -1.1257991701189463]"
439,2,"[[898.0, 55.0], [942.0, 39.0], [938.0, 112.0], [894.0, 123.0]]","[2.15020524228475, -153.20802737479036, 79.72724962534836, 28.057290931727668]"
439,5,"[[441.0, 198.0], [457.0, 199.0], [457.0, 216.0], [440.0, 215.0]]","[7.728283814139558, -178.84325054931364, -13.36655585126144, 1.3936936703493656]"
440,2,"[[880.0, 45.0], [926.0, 27.0], [921.0, 102.0], [876.0, 114.0]]","[2.09325571744643, -158.85780425237616, 78.55781032520972, 22.989712221622998]"
440,5,"[[416.0, 193.0], [433.0, 193.0], [434.0, 210.0], [416.0, 210.0]]","[7.468118689279112, 171.84445079478257, -6.19488648360675, -1.0421127383189073]"
441,5,"[[386.0, 171.0], [404.0, 171.0], [404.0, 189.0], [386.0, 187.0]]","[7.831208537852368, -179.56097603933347, -4.7341505796465215, 1.2092058267471513]"
442,2,"[[849.0, 33.0], [900.0, 11.0], [897.0, 94.0], [845.0, 110.0]]","[1.8665410257410187, -166.84585499459172, 76.64027759832759, 14.390293129693593]"
442,5,"[[351.0, 199.0], [368.0, 197.0], [370.0, 215.0], [352.0, 216.0]]","[7.477021731925046, 178.69130203389713, 1.7261142291762865, -4.837612422805747]"
443,2,"[[881.0, 35.0], [939.0, 10.0], [940.0, 96.0], [881.0, 114.0]]","[1.8200220419902717, -172.7315429422402, 75.17235192744731, 6.402902737272544]"
444,5,"[[352.0, 213.0], [371.0, 212.0], [372.0, 231.0], [355.0, 232.0]]","[6.921955964707741, -165.45798342081224, 13.262137750669947, -1.246418284301069]"
444,4,"[[230.0, 288.0], [240.0, 289.0], [240.0, 298.0], [230.0, 298.0]]","[13.687692328491442, 169.94598171660957, -22.442754383097547, 1.6404017339535224]"
445,5,"[[371.0, 217.0], [389.0, 216.0], [391.0, 235.0], [373.0, 236.0]]","[6.889255041379614, -165.48873549551203, 14.464553901433407, -1.1957243514057834]"
446,5,"[[406.0, 219.0], [426.0, 216.0], [427.0, 235.0], [408.0, 236.0]]","[6.64639039192458, -147.5025370760999, -4.760490532195867, -6.531438976343309]"
447,5,"[[428.0, 176.0], [447.0, 176.0], [448.0, 195.0], [428.0, 195.0]]","[6.719130311525162, 172.61717010317864, -5.264362516863488, -0.9608859734997189]"
448,5,"[[476.0, 163.0], [495.0, 162.0], [496.0, 182.0], [477.0, 183.0]]","[6.72059243083794, -170.58123251011, -11.94214098129226, -5.262710216915925]"
449,5,"[[490.0, 161.0], [510.0, 160.0], [511.0, 181.0], [492.0, 182.0]]","[6.370755021184725, -162.20985483854696, 22.3421732346717, 1.7544352354914385]"
450,5,"[[517.0, 156.0], [538.0, 154.0], [539.0, 175.0], [519.0, 176.0]]","[6.431356853457864, -156.31488019293135, 11.103583571051322, -1.7663553564672223]"
451,5,"[[535.0, 154.0], [555.0, 153.0], [557.0, 174.0], [536.0, 176.0]]","[6.259165395572268, -174.12355014224022, -9.702227690352485, -5.852527069766901]"
451,4,"[[410.0, 246.0], [420.0, 245.0], [421.0, 255.0], [411.0, 255.0]]","[12.879506921830062, -153.55799189253005, 5.460424339036582, -2.263439707511898]"
452,5,"[[536.0, 139.0], [558.0, 138.0], [558.0, 159.0], [537.0, 160.0]]","[6.226961444265893, -150.7435558432321, 6.601783235378594, -1.0497017369371917]"
453,5,"[[542.0, 132.0], [563.0, 132.0], [562.0, 156.0], [542.0, 157.0]]","[5.598855269886975, -164.32249516203288, -24.87593525679427, -7.129769847712735]"
454,5,"[[555.0, 128.0], [577.0, 126.0], [578.0, 149.0], [556.0, 151.0]]","[5.972372408746727, -164.7299153764025, -5.4252934948676055, -6.157733619460338]"
454,4,"[[423.0, 226.0], [433.0, 226.0], [434.0, 236.0], [423.0, 236.0]]","[12.319264662346912, 166.99658532684518, -8.818096315179789, -1.1795322365958303]"
455,5,"[[564.0, 122.0], [587.0, 120.0], [589.0, 143.0], [566.0, 146.0]]","[5.80934953398571, -173.894790387647, -1.2189036773417092, -6.1831605176202835]"
455,4,"[[430.0, 225.0], [441.0, 226.0], [441.0, 236.0], [430.0, 236.0]]","[11.762653745376314, 167.37537575947502, -8.409572848666492, 1.5200856235925748]"
455,7,"[[359.0, 273.0], [359.0, 264.0], [368.0, 264.0], [368.0, 273.0]]","[14.464450062183873, 178.53268301428852, -0.1377691351243345, -89.93937529232211]"
456,5,"[[574.0, 127.0], [597.0, 126.0], [599.0, 150.0], [576.0, 152.0]]","[5.534321178845566, -176.60973078382466, -11.933077076167555, -6.146992557892981]"
457,5,"[[634.0, 125.0], [660.0, 124.0], [660.0, 149.0], [636.0, 151.0]]","[5.409742733739799, -174.9800107151858, -2.498708794610086, -3.759668661107643]"
458,5,"[[657.0, 117.0], [683.0, 115.0], [684.0, 142.0], [658.0, 143.0]]","[5.2364584934072225, -156.53154241651126, 27.860686647278648, 3.8930236874170348]"
458,4,"[[507.0, 227.0], [518.0, 227.0], [518.0, 239.0], [507.0, 238.0]]","[11.273058805586404, -161.9433082732134, 21.07055440274356, 5.595229010799665]"
458,7,"[[432.0, 274.0], [432.0, 265.0], [442.0, 265.0], [441.0, 275.0]]","[13.601673836176781, 179.89341887468296, 10.969776629278263, -86.8324299782525]"
459,5,"[[679.0, 113.0], [707.0, 111.0], [707.0, 138.0], [680.0, 140.0]]","[5.1794138242613235, -157.09798947091159, 18.656608954604977, 0.5060104041017719]"
460,5,"[[688.0, 111.0], [717.0, 109.0], [717.0, 137.0], [690.0, 139.0]]","[5.0071129240122865, -156.3678156707974, 26.92557639702389, 2.889248514297983]"
460,4,"[[532.0, 232.0], [543.0, 232.0], [543.0, 244.0], [532.0, 244.0]]","[10.96180043276712, -174.63084898022925, -18.420085934297955, -2.2410955765322105]"
462,5,"[[699.0, 88.0], [731.0, 86.0], [730.0, 116.0], [700.0, 118.0]]","[4.678956517715344, -151.4630856254388, 18.19677300683306, 1.3244185676892006]"
463,5,"[[695.0, 79.0], [727.0, 76.0], [727.0, 107.0], [697.0, 109.0]]","[4.632772699255744, -152.0507184125652, 23.79870010668431, 2.233902795048668]"
463,4,"[[524.0, 212.0], [536.0, 212.0], [536.0, 225.0], [524.0, 225.0]]","[10.178230419713573, -173.69532751644303, -17.287605588735765, -2.457296032895091]"
463,7,"[[447.0, 265.0], [447.0, 254.0], [457.0, 255.0], [457.0, 265.0]]","[12.265560186908345, -160.41668428458652, -2.5585401093139093, -90.03940447437589]"
464,5,"[[698.0, 73.0], [731.0, 69.0], [732.0, 101.0], [700.0, 104.0]]","[4.4710311431756, -151.33268885481186, 20.937045990189976, -0.2745114620825186]"
464,7,"[[446.0, 272.0], [446.0, 261.0], [456.0, 261.0], [456.0, 271.0]]","[12.240736618006748, -160.12852971912596, 13.662267200085834, -89.85364379046986]"
465,5,"[[685.0, 82.0], [719.0, 79.0], [719.0, 112.0], [687.0, 115.0]]","[4.332004044505334, -157.57390269895262, 22.689676605431334, 1.1638615621268031]"
465,4,"[[505.0, 231.0], [517.0, 230.0], [518.0, 242.0], [505.0, 243.0]]","[10.382929582550211, 168.44149332307848, 8.510974948496875, -3.481966024576502]"
466,5,"[[745.0, 59.0], [781.0, 55.0], [782.0, 91.0], [746.0, 94.0]]","[4.118434874281717, -155.83338761827466, 27.871590766060233, 2.6240110906323184]"
466,4,"[[548.0, 218.0], [561.0, 218.0], [561.0, 231.0], [548.0, 231.0]]","[10.082161210799162, 179.47579108225355, -1.554931584451601, -0.07318361953013237]"
467,5,"[[762.0, 38.0], [800.0, 34.0], [801.0, 72.0], [763.0, 76.0]]","[3.920721392214698, -169.397201680101, 6.899470776307715, -4.034200971433281]"
467,4,"[[556.0, 207.0], [569.0, 207.0], [569.0, 220.0], [555.0, 220.0]]","[9.805009047643061, 171.65611526871427, 9.28137616970378, 1.5588854365435254]"
467,7,"[[474.0, 264.0], [473.0, 253.0], [483.0, 252.0], [484.0, 263.0]]","[11.795106051202652, -157.5924603298988, 6.318963587947995, -95.4066157926362]"
468,5,"[[778.0, 22.0], [819.0, 18.0], [820.0, 59.0], [779.0, 63.0]]","[3.6623050574060367, -170.706825752973, 6.425731781548132, -3.7423729699228474]"
468,7,"[[472.0, 271.0], [472.0, 260.0], [482.0, 259.0], [483.0, 271.0]]","[11.290424783254439, 154.80919370338117, 4.991572030450728, -92.60439120812154]"
469,4,"[[562.0, 202.0], [575.0, 200.0], [576.0, 216.0], [563.0, 216.0]]","[8.851781732039385, -168.01405244784738, 36.950533282181716, 2.0496981551622078]"
470,4,"[[504.0, 212.0], [517.0, 211.0], [519.0, 225.0], [504.0, 226.0]]","[9.291069993314247, 177.88071438047982, -0.8532790521594877, -4.059955063374946]"
471,4,"[[498.0, 209.0], [512.0, 208.0], [513.0, 222.0], [498.0, 223.0]]","[8.991665386588782, 170.3069578572164, 7.2352852587920475, -2.8246613804687204]"
